Timestamp,Component,OldVersion,NewVersion,Action
2026-03-10 11:58:34,OS,10.2,10.2,not required
2026-03-10 11:58:34,BE,10.0.19042,10.0.19542,upgrade
2026-03-10 11:58:34,DB,12.1,12.1,not required
2026-03-10 11:58:34,FW,3.5.1,3.4.1,downgrade
2026-03-10 12:12:48,OS,10.2,10.3,upgrade
2026-03-10 12:12:48,BE,10.0.19542,10.0.2222,downgrade
2026-03-10 12:12:48,DB,12.1,12.3,upgrade
2026-03-10 12:12:48,FW,3.4.1,3.4.2,upgrade
2026-03-10 12:22:28,OS,10.3,12.2,upgrade
2026-03-10 12:22:28,BE,10.0.2222,10.0.30,downgrade
2026-03-10 12:22:28,DB,12.3,12.3,not required
2026-03-10 12:22:28,FW,3.4.2,3.4.2,not required
2026-03-10 12:27:37,OS,12.2,10.2,downgrade
2026-03-10 12:27:37,BE,10.0.30,10.2.30,upgrade
2026-03-10 12:27:37,DB,12.3,12.3,not required
2026-03-10 12:27:37,FW,3.4.2,3.5.0,upgrade
2026-03-10 12:50:25,OS,10.2,15.2,upgrade
2026-03-10 12:50:25,BE,10.2.30,11.2.30,upgrade
2026-03-10 12:50:25,DB,12.3,13.3,upgrade
2026-03-10 12:50:25,FW,3.5.0,3.6.0,upgrade
2026-03-10 12:53:04,OS,15.2,12.2,downgrade
2026-03-10 12:53:04,BE,11.2.30,11.2.40,upgrade
2026-03-10 12:53:04,DB,13.3,13.1,downgrade
2026-03-10 12:53:04,FW,3.6.0,3.6.0,not required
2026-03-10 12:58:53,OS,12.2,13.2,upgrade
2026-03-10 12:58:53,BE,11.2.40,11.2.30,downgrade
2026-03-10 12:58:53,DB,13.1,12.2,downgrade
2026-03-10 12:58:53,FW,3.6.0,3.7.0,upgrade
2026-04-14 17:15:27,OS,13.2,14.2,upgrade
2026-04-14 17:15:27,BE,11.2.30,11.2.30,not required
2026-04-14 17:15:27,DB,12.2,12.1,downgrade
2026-04-14 17:15:27,FW,3.7.0,3.6.0,downgrade
